HeartRate,Temperature,Time
70,96.3,00:00:00
71,96.7,00:05:00
74,96.9,00:10:00
80,97,00:15:00
73,97.1,00:20:00
75,97.1,00:25:00
82,97.1,00:30:00
64,97.2,00:35:00
69,97.3,00:40:00
70,97.4,00:45:00
68,97.4,00:50:00
72,97.4,00:55:00
78,97.4,01:00:00
70,97.5,01:05:00
75,97.5,01:10:00
74,97.6,01:15:00
69,97.6,01:20:00
73,97.6,01:25:00
77,97.7,01:30:00
58,97.8,01:35:00
73,97.8,01:40:00
65,97.8,01:45:00
74,97.8,01:50:00
76,97.9,01:55:00
72,97.9,02:00:00
78,98,02:05:00
71,98,02:10:00
74,98,02:15:00
67,98,02:20:00
64,98,02:25:00
78,98,02:30:00
73,98.1,02:35:00
67,98.1,02:40:00
66,98.2,02:45:00
64,98.2,02:50:00
71,98.2,02:55:00
72,98.2,03:00:00
86,98.3,03:05:00
72,98.3,03:10:00
68,98.4,03:15:00
70,98.4,03:20:00
82,98.4,03:25:00
84,98.4,03:30:00
68,98.5,03:35:00
71,98.5,03:40:00
77,98.6,03:45:00
78,98.6,03:50:00
83,98.6,03:55:00
66,98.6,04:00:00
70,98.6,04:05:00
82,98.6,04:10:00
73,98.7,04:15:00
78,98.7,04:20:00
78,98.8,04:25:00
81,98.8,04:30:00
78,98.8,04:35:00
80,98.9,04:40:00
75,99,04:45:00
79,99,04:50:00
81,99,04:55:00
71,99.1,05:00:00
83,99.2,05:05:00
63,99.3,05:10:00
70,99.4,05:15:00
75,99.5,05:20:00
69,96.4,05:25:00
62,96.7,05:30:00
75,96.8,05:35:00
66,97.2,05:40:00
68,97.2,05:45:00
57,97.4,05:50:00
61,97.6,05:55:00
84,97.7,06:00:00
61,97.7,06:05:00
77,97.8,06:10:00
62,97.8,06:15:00
71,97.8,06:20:00
68,97.9,06:25:00
69,97.9,06:30:00
79,97.9,06:35:00
76,98,06:40:00
87,98,06:45:00
78,98,06:50:00
73,98,06:55:00
89,98,07:00:00
81,98.1,07:05:00
73,98.2,07:10:00
64,98.2,07:15:00
65,98.2,07:20:00
73,98.2,07:25:00
69,98.2,07:30:00
57,98.2,07:35:00
79,98.3,07:40:00
78,98.3,07:45:00
80,98.3,07:50:00
79,98.4,07:55:00
81,98.4,08:00:00
73,98.4,08:05:00
74,98.4,08:10:00
84,98.4,08:15:00
83,98.5,08:20:00
82,98.6,08:25:00
85,98.6,08:30:00
86,98.6,08:35:00
77,98.6,08:40:00
72,98.7,08:45:00
79,98.7,08:50:00
59,98.7,08:55:00
64,98.7,09:00:00
65,98.7,09:05:00
82,98.7,09:10:00
64,98.8,09:15:00
70,98.8,09:20:00
83,98.8,09:25:00
89,98.8,09:30:00
69,98.8,09:35:00
73,98.8,09:40:00
84,98.8,09:45:00
76,98.9,09:50:00
79,99,09:55:00
81,99,10:00:00
80,99.1,10:05:00
74,99.1,10:10:00
77,99.2,10:15:00
66,99.2,10:20:00
68,99.3,10:25:00
77,99.4,10:30:00
79,99.9,10:35:00
78,100,10:40:00
77,100.8,10:45:00
